           ,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,produksi_jengkol,satuan,tahun
209,32,JAWA BARAT,3272,KOTA SUKABUMI,0,KUINTAL,2020
210,32,JAWA BARAT,3273,KOTA BANDUNG,0,KUINTAL,2020
211,32,JAWA BARAT,3274,KOTA CIREBON,1,KUINTAL,2020
212,32,JAWA BARAT,3275,KOTA BEKASI,105,KUINTAL,2020
213,32,JAWA BARAT,3276,KOTA DEPOK,5,KUINTAL,2020
214,32,JAWA BARAT,3277,KOTA CIMAHI,0,KUINTAL,2020
215,32,JAWA BARAT,3278,KOTA TASIKMALAYA,14,KUINTAL,2020
216,32,JAWA BARAT,3279,KOTA BANJAR,2909,KUINTAL,2020
217,32,JAWA BARAT,3201,KABUPATEN BOGOR,15973,KUINTAL,2021
218,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,6225,KUINTAL,2021
219,32,JAWA BARAT,3203,KABUPATEN CIANJUR,13444,KUINTAL,2021
220,32,JAWA BARAT,3204,KABUPATEN BANDUNG,5744,KUINTAL,2021
221,32,JAWA BARAT,3205,KABUPATEN GARUT,3681,KUINTAL,2021
222,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,27743,KUINTAL,2021
223,32,JAWA BARAT,3207,KABUPATEN CIAMIS,54705,KUINTAL,2021
224,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,6029,KUINTAL,2021
225,32,JAWA BARAT,3209,KABUPATEN CIREBON,0,KUINTAL,2021
226,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,2914,KUINTAL,2021
227,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,5816,KUINTAL,2021
228,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,32,KUINTAL,2021
229,32,JAWA BARAT,3213,KABUPATEN SUBANG,7855,KUINTAL,2021
230,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,12515,KUINTAL,2021
231,32,JAWA BARAT,3215,KABUPATEN KARAWANG,5869,KUINTAL,2021
232,32,JAWA BARAT,3216,KABUPATEN BEKASI,972,KUINTAL,2021
233,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,9350,KUINTAL,2021
234,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,879,KUINTAL,2021
235,32,JAWA BARAT,3271,KOTA BOGOR,411,KUINTAL,2021
236,32,JAWA BARAT,3272,KOTA SUKABUMI,0,KUINTAL,2021
237,32,JAWA BARAT,3273,KOTA BANDUNG,0,KUINTAL,2021
238,32,JAWA BARAT,3274,KOTA CIREBON,0,KUINTAL,2021
239,32,JAWA BARAT,3275,KOTA BEKASI,139,KUINTAL,2021
240,32,JAWA BARAT,3276,KOTA DEPOK,12,KUINTAL,2021
241,32,JAWA BARAT,3277,KOTA CIMAHI,0,KUINTAL,2021
242,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,KUINTAL,2021
243,32,JAWA BARAT,3279,KOTA BANJAR,3055,KUINTAL,2021
